carrier_name,ams_carrier_name_lowercase,glovebox_carrier_id,ontraport_carrier_id,Note,Website,MGA / Wholesaler
ACUITY A MUTUAL INS CO,acuity a mutual ins co,acuity,9,,,
ACUITY INSURANCE,acuity insurance,acuity,9,,,
Adirondack Insurance,adirondack insurance,adirondack,26,,,
Adirondack Insurance Exchange,adirondack insurance exchange,adirondack,26,,,
Advantage Auto,advantage auto,advantageauto,690,,,
Advantage Auto Insurance,advantage auto insurance,advantageauto,690,,,
Adventure Mexican Insurance,adventure mexican insurance,advmex,746,,,
Aegis,aegis,aegissecurity,106,,,
Aegis General Insurance,aegis general insurance,aegissecurity,106,,,
Aegis General Insurance Agency Inc,aegis general insurance agency inc,aegissecurity,106,,,
Aegis Ins Co,aegis ins co,aegissecurity,106,,,
Aegis Security Ins Co,aegis security ins co,aegissecurity,106,,,
Aegis Security Ins. Co.,aegis security ins. co.,aegissecurity,106,,,
Aegis Security Insurance,aegis security insurance,aegissecurity,106,,,
Aegis Security Insurance Company,aegis security insurance company,aegissecurity,106,,,
Agency Insurance Company,agency insurance company,agency,130,,,
Agency Insurance Company of Maryland,agency insurance company of maryland,agency,130,,,
AGGRESSIVE INSURANCE,aggressive insurance,aggressive,662,,,
Aggressive Insurane,aggressive insurane,aggressive,662,,,
AI Risk Specialists Insurance,ai risk specialists insurance,axiagroup,643,,,
AIC,aic,agency,130,,,
AIG,aig,aig,62,,,
"AIG - American International Group, Inc.","aig - american international group, inc.",aig,62,,,
"AIG - American International Group,Inc.","aig - american international group,inc.",aig,62,,,
AIG Exchange,aig exchange,aig,62,,,
AIG Private Client Group,aig private client group,aig,62,,,
AIG Property Casualty,aig property casualty,aig,62,,,
AIG Property Casualty Company,aig property casualty company,aig,62,,,
AIG-CHARTIS PRIVATE CLIENT GROUP,aig-chartis private client group,aig,62,,,
Alfa Insurance,alfa insurance,alfa,75,,,
Alfa Insurance Companies,alfa insurance companies,alfa,75,,,
Alinsco Insurance,alinsco insurance,alinsco,126,,,
"All Risk, LTD",,,,not mapping yet,https://www.allrisks.com/,TRUE
All Risks,,,,not mapping yet,https://www.allrisks.com/,TRUE
All Risks,,,,not mapping yet,http://allstarunderwriters.com/aui/index.html,TRUE
All Risks Ltd.,,,,not mapping yet,https://www.allrisks.com/,TRUE
All State,all state,allstate,45,,,
Allegany Co-Op Ins Co,allegany co-op ins co,allegany,685,,,
Alliance Ins Grp,alliance ins grp,farmersalliance,571,,,
ALLIANCE INSURANCE COMPANIES,alliance insurance companies,farmersalliance,517,,,
Alliance United,alliance united,united,67,,,
ALLIANCE UNITED INS CO,alliance united ins co,united,67,,,
Allied,allied,nationwide,20,,,
Allied - AIDCO (Allied Property & Casualty Insuran,allied - aidco (allied property & casualty insuran,nationwide,20,,,
Allied - AMCO Insurance Company,allied - amco insurance company,nationwide,20,,,
Allied - Depositors Insurance Company,allied - depositors insurance company,nationwide,20,,,
Allied - Nationwide Mutual Insurance Company,allied - nationwide mutual insurance company,nationwide,37,,,
Allied - Nationwide Mutual Insurance Company,allied - nationwide mutual insurance company,nationwide,20,,,
Allied | Nationwide,allied | nationwide,nationwide,20,,,
Allied Amco,allied amco,nationwide,20,,,
Allied General,allied general,nationwide,20,,,
Allied General Agency Company,allied general agency company,nationwidepc,595,,,
Allied Group/Nationwide,allied group/nationwide,nationwide,20,,,
Allied Insurance,allied insurance,nationwide,20,,,
Allied Insurance,allied insurance,nationwide,20,,,
ALLIED INSURANCE CO.,allied insurance co.,nationwide,20,,,
Allied Insurance Company,allied insurance company,nationwide,20,,,
Allied Nationwide,allied nationwide,nationwide,20,,,
ALLIED PROP & CAS INS CO,allied prop & cas ins co,nationwide,20,,,
Allied Property & Casualty Insurance Co,allied property & casualty insurance co,nationwide,20,,,
Allied Property and Casualty,allied property and casualty,nationwide,20,,,
ALLIED TRUST,allied trust,alliedtrust,143,,,
Allied Trust Ins Co,allied trust ins co,alliedtrust,143,,,
Allied Trust Insurance,allied trust insurance,alliedtrust,143,,,
Allied Trust Insurance Company,allied trust insurance company,alliedtrust,143,,,
Allied/Nationwide Insurance Company,allied/nationwide insurance company,nationwide,20,,,
Allmerica Financial,allmerica financial,hanover,12,,,
Allrisk,,,,not mapping yet,https://www.allrisks.com/,TRUE
Allstar Underwriters,,,,not mapping yet,https://www.andersonmurison.com/,TRUE
Allstate,allstate,allstate,45,,,
Allstate Cnty Mut Ins Co,allstate cnty mut ins co,allstate,45,,,
ALLSTATE CORP,allstate corp,allstate,45,,,
Allstate Fire & Cas Ins Co,allstate fire & cas ins co,allstate,45,,,
Allstate Fire and Casualty Insurance Co,allstate fire and casualty insurance co,allstate,45,,,
Allstate Fire and Casualty Insurance Company,allstate fire and casualty insurance company,allstate,45,,,
Allstate Ind Co,allstate ind co,allstate,45,,,
Allstate Indemnity Company,allstate indemnity company,allstate,45,,,
ALLSTATE INS,allstate ins,allstate,45,,,
Allstate Ins Co,allstate ins co,allstate,45,,,
Allstate Ins Co Grp,allstate ins co grp,allstate,45,,,
Allstate INS COMP,allstate ins comp,allstate,45,,,
Allstate Ins Grp,allstate ins grp,allstate,45,,,
Allstate Insurance,allstate insurance,allstate,45,,,
ALLSTATE INSURANCE CO,allstate insurance co,allstate,45,,,
Allstate Insurance Company,allstate insurance company,allstate,45,,,
Allstate Insurance Company,allstate insurance company,allstate,45,,,
Allstate Insurance Group,allstate insurance group,allstate,45,,,
Allstate New Jersey Insurance Company,allstate new jersey insurance company,allstate,45,,,
Allstate Northbrook Ind Co,allstate northbrook ind co,allstate,45,,,
ALLSTATE PROP & CAS INS CO,allstate prop & cas ins co,allstate,45,,,
Allstate Vehicle & Prop Ins Co,allstate vehicle & prop ins co,allstate,45,,,
Allstate Vehicle and Property Insurance Company,allstate vehicle and property insurance company,allstate,45,,,
Alpha Prop & Cas Ins Co,alpha prop & cas ins co,kemper,22,,,
AMCO,amco,nationwide,20,,,
AMCO INS CO,amco ins co,nationwide,20,,,
AMCO Insurance Company,amco insurance company,nationwide,20,,,
American  Modern Insurance Gro,american  modern insurance gro,americanmodern,37,,,
American Access Casualty,american access casualty,americanaccess,115,,,
American Bankers,american bankers,assurant,586,,,
American Bankers Ins Co (Natl Flood),american bankers ins co (natl flood),assurant,586,,,
American Bankers Ins Co Of FL,american bankers ins co of fl,assurant,586,,,
American Bankers Ins. Co,american bankers ins. co,assurant,586,,,
American Bankers Ins. Co. of Florida,american bankers ins. co. of florida,assurant,586,,,
American Bankers Insurance Co,american bankers insurance co,assurant,586,,,
American Bankers Insurance Co of Florida,american bankers insurance co of florida,assurant,586,,,
American Bankers Insurance Company,american bankers insurance company,assurant,586,,,
American Bankers Insurance Company of Florida,american bankers insurance company of florida,assurant,586,,,
American Bankers Insurance Company of Florida,american bankers insurance company of florida,assurant,586,,,
American Bankers Insurance Company of Florida,american bankers insurance company of florida,assurant,586,,,
American Bankers Insurance Of Florida,american bankers insurance of florida,assurant,586,,,
American Collectors,american collectors,americancollectors,333,,,
American Collectors Ins,american collectors ins,americancollectors,333,,,
American Collectors Ins Inc,american collectors ins inc,americancollectors,333,,,
American Collectors Insurance,american collectors insurance,americancollectors,333,,,
AMERICAN COLLECTORS INSURANCE AGENCY,american collectors insurance agency,americancollectors,333,,,
AMERICAN COMMERCE INS CO,american commerce ins co,mapfre,52,,,
American Commerce Insurance Company,american commerce insurance company,mapfre,52,,,
American Economy,american economy,safeco,18,,,
AMERICAN ECONOMY INS CO,american economy ins co,safeco,18,,,
American Economy Insurance,american economy insurance,safeco,18,,,
American Family,american family,americanfamily,44,,,
American Family Connect Property and Casualty Insurance Company,american family connect property and casualty insurance company,amfamconnect,745,,,
American General Life,american general life,americangeneral,681,,,
American Hallmark Insurance,american hallmark insurance,hallmark,162,,,
American Integrity,american integrity,americanintegrity,78,,,
American Integrity Ins Co Of FL,american integrity ins co of fl,americanintegrity,78,,,
American Integrity Ins Co Of FL,american integrity ins co of fl,americanintegrity,78,,,
American Integrity Insurance,american integrity insurance,americanintegrity,78,,,
American Integrity Insurance Group,american integrity insurance group,americanintegrity,78,,,
American International Group,american international group,aig,62,,,
AMERICAN INTERNATIONAL GROUP INC,american international group inc,aig,62,,,
"American International Group, Inc. (AIG)","american international group, inc. (aig)",aig,62,,,
American Intl Grp,american intl grp,aig,62,,,
American Mercury Insurance Company,american mercury insurance company,mercury,33,,,
American Modern,american modern,americanmodern,37,,,
AMERICAN MODERN GUIC INS CO,american modern guic ins co,americanmodern,37,,,
American Modern Home,american modern home,americanmodern,37,,,
American Modern Home Ins,american modern home ins,americanmodern,37,,,
American Modern Home Ins Co,american modern home ins co,americanmodern,37,,,
American Modern Home Ins. Co.,american modern home ins. co.,americanmodern,37,,,
American Modern Home Insurance,american modern home insurance,americanmodern,37,,,
American Modern Home Insurance Company,american modern home insurance company,americanmodern,37,,,
AMERICAN MODERN INS,american modern ins,americanmodern,37,,,
American Modern Ins Co Of FL,american modern ins co of fl,americanmodern,37,,,
American Modern Ins Group,american modern ins group,americanmodern,37,,,
American Modern Insurance,american modern insurance,americanmodern,37,,,
American Modern Insurance Company,american modern insurance company,americanmodern,37,,,
American Modern Insurance Group,american modern insurance group,americanmodern,37,,,
American Modern Insurance Group (S&W),american modern insurance group (s&w),americanmodern,37,,,
American Modern Prop & Cas Ins Co,american modern prop & cas ins co,americanmodern,37,,,
American Modern Property & Casualty Ins Co,american modern property & casualty ins co,americanmodern,37,,,
American Modern Property and Casualty Insurance C,american modern property and casualty insurance c,americanmodern,37,,,
AMERICAN MODERN PROPERTY AND CASUALTY INSURANCE COMPANY,american modern property and casualty insurance company,americanmodern,37,,,
American Modern Select Ins Co,american modern select ins co,americanmodern,37,,,
American Modern Select Insurance,american modern select insurance,americanmodern,37,,,
American Modern Surplus Lines Ins Co,american modern surplus lines ins co,americanmodern,37,,,
American National Insurance,american national insurance,americannational,113,,,
AMERICAN RELIABLE,american reliable,americanreliable,144,,,
American Reliable Ins Co.,american reliable ins co.,americanreliable,144,,,
American Reliable Insurance,american reliable insurance,americanreliable,144,,,
American Reliable Insurance - ASSURANT SPECIALTY,american reliable insurance - assurant specialty,americanreliable,144,,,
American Reliable Insurance Co,american reliable insurance co,americanreliable,144,,,
American Reliable Insurance Co.,american reliable insurance co.,americanreliable,144,,,
American Reliable Insurance Company,american reliable insurance company,americanreliable,144,,,
American Reliable Insurance Company,american reliable insurance company,americanreliable,144,,,
American Risk Ins Co Inc,american risk ins co inc,americanrisk,530,,,
American Risk Insurance,american risk insurance,americanrisk,530,,,
American Select Ins Co,american select ins co,westfield,25,,,
American Southern Home Ins Co,american southern home ins co,americanmodern,37,,,
American Southern Home Insurance Company,american southern home insurance company,americanmodern,37,,,
American States Ins Comp,american states ins comp,safeco,18,,,
American States Insurance Company,american states insurance company,safeco,18,,,
AMERICAN STATES PREFERRED INS CO,american states preferred ins co,safeco,18,,,
American Strageic Insurance Corp,american strageic insurance corp,asi,14,,,
American Strategic,american strategic,asi,14,,,
AMERICAN STRATEGIC INC - ASI Underwriters Inc. -,american strategic inc - asi underwriters inc. -,asi,14,,,
American Strategic Ins,american strategic ins,asi,14,,,
American Strategic Ins Corp,american strategic ins corp,asi,14,,,
American Strategic Ins Corp (ASI),american strategic ins corp (asi),asi,14,,,
American Strategic Insurance,american strategic insurance,asi,14,,,
American Strategic Insurance (ASI),american strategic insurance (asi),asi,14,,,
American Strategic Insurance (ASI),american strategic insurance (asi),asi,14,,,
American Strategic Insurance Company,american strategic insurance company,asi,14,,,
American Strategic Insurance Corp,american strategic insurance corp,asi,14,,,
American Strategic Insurance Group,american strategic insurance group,asi,14,,,
American Summit,american summit,americansummit,625,,,
American Summit Ins Co.,american summit ins co.,americansummit,625,,,
American Summit Insurance,american summit insurance,americansummit,625,,,
American Summit Insurance Co.,american summit insurance co.,americansummit,625,,,
American Summit Insurance Company,american summit insurance company,americansummit,625,,,
American Summit Insurance Company/ National LLoyds,american summit insurance company/ national lloyds,nationallloyds,101,,,
American Traditions Insurance,american traditions insurance,americantraditions,8,,,
American Traditions Insurance Company,american traditions insurance company,americantraditions,8,,,
AmericanBankers/Assurant Flood,americanbankers/assurant flood,assurant,586,,,
Ameriprise Insurance,ameriprise insurance,ameriprise,61,,,
Amguard Ins Co,amguard ins co,berkshirehathaway,140,,,
Amguard Insurance Company,amguard insurance company,berkshirehathaway,140,,,
Amica - MAIP,amica - maip,amica,66,,,
Amica Insurance,amica insurance,amica,66,,,
AMIG - American Modern Select Insurance,amig - american modern select insurance,americanmodern,37,,,
AmTrust,amtrust,amtrust,555,,,
"AmTrust Financial Services, Inc","amtrust financial services, inc",amtrust,555,,,
"AmTrust Financial Services, Inc. -2","amtrust financial services, inc. -2",amtrust,555,,,
Amtrust Ngh Grp,amtrust ngh grp,amtrust,555,,,
AmTrust North America,amtrust north america,amtrust,555,,,
AmWins,amwins,amwins,545,,,
AmWINS,amwins,amwins,545,,,
AmWINS Access,amwins access,amwins,545,,,
AmWINS Access Ins Services,amwins access ins services,amwins,545,,,
AmWINS Access Ins Services LLC,amwins access ins services llc,amwins,545,,,
AmWins Access Ins. Service,amwins access ins. service,amwins,545,,,
AmWins Access Insurance Services LLC,amwins access insurance services llc,amwins,545,,,
"AmWINS Access Insurance Services, LLC","amwins access insurance services, llc",amwins,545,,,
AmWins Acess Insurance Service,amwins acess insurance service,amwins,545,,,
AMWINS AMERICAN SOUTHWEST,amwins american southwest,amwins,545,,,
"AmWINS Brokerage of the Midwest, LLC","amwins brokerage of the midwest, llc",amwins,545,,,
AmWINS Group,amwins group,amwins,545,,,
Amwins Insurance,amwins insurance,amwins,545,,,
AmWins Program Underwriters Inc.,amwins program underwriters inc.,amwins,545,,,
"AmWins Program Underwriters, Inc.","amwins program underwriters, inc.",amwins,545,,,
AMWINS SPEC,amwins spec,amwins,545,,,
AmWINS Specialty Auto,amwins specialty auto,amwins,545,,,
Anchor General,anchor general,anchorgeneral,29,,,
Anchor General Insurance,anchor general insurance,anchorgeneral,29,,,
Anchor Insurance,anchor insurance,anchor,131,,,
Anchor P & C Insurance Co.,anchor p & c insurance co.,anchor,131,,,
Anchor Speciality Ins Co,anchor speciality ins co,anchor,131,,,
Anderson & Murison,,,,not mapping yet,https://www.appund.com,TRUE
Andover Insurance,andover insurance,andover,73,,,
Apollo Group,apollo group,apollogroup,682,,,
Apollo MGA,apollo mga,apollogroup,682,,,
Apollo MGA ( Personal Lines Auto),apollo mga ( personal lines auto),apollogroup,682,,,
Apollo MGA (Personal Lines Auto),apollo mga (personal lines auto),apollogroup,682,,,
Appalachian Underwriters,,,,not mapping yet,https://www.argenia.com/,TRUE
"Appalachian Underwriters, Inc",,,,not mapping yet,https://www.appund.com,TRUE
"Appalachian Underwriters, Inc.",,,,not mapping yet,https://www.appund.com,TRUE
Arbella Insurance,arbella insurance,arbella,84,,,
Arbella Insurance Group,arbella insurance group,arbella,84,,,
Arbella Mutual Insurance Company,arbella mutual insurance company,arbella,84,,,
Arbella Specialty Insurance Brokerag,arbella specialty insurance brokerag,arbella,84,,,
Argenia,,,,not mapping yet,https://www.argenia.com/,TRUE
"Argenia, LLC",,,,not mapping yet,https://www.asperains.com/products/personal/,TRUE
ARI(American Risk Insurance) Home XML,ari(american risk insurance) home xml,americanrisk,530,,,
Arlington Roe,,,,,,
Arlington Roe & Co,,,,not mapping currently,https://www.arlingtonroe.com/,TRUE
Arlington Roe & Co,,,,not mapping currently,https://www.arlingtonroe.com/,
Arlington/Roe & Co.,,,,not mapping currently,https://www.arlingtonroe.com/,
"Arlington/Roe & Co., Inc",,,,not mapping currently,https://www.arlingtonroe.com/,TRUE
Armed Forces Insurance,armed forces insurance,armedforces,111,,,
ARROWHEAD,arrowhead,arrowhead,551,,,
ARROWHEAD EXCHANGE,arrowhead exchange,arrowhead,551,,,
Arrowhead General Agency,arrowhead general agency,arrowhead,551,,,
Arrowhead General Insurance,arrowhead general insurance,arrowhead,551,,,
Arrowhead General Insurance Agency,arrowhead general insurance agency,arrowhead,551,,,
Arrowhead General Insurance Agency Inc,arrowhead general insurance agency inc,arrowhead,551,,,
"Arrowhead General Insurance Agency, Inc","arrowhead general insurance agency, inc",arrowhead,551,,,
"Arrowhead General Insurance Agency, Inc.","arrowhead general insurance agency, inc.",arrowhead,551,,,
Arrowhead Insurance,arrowhead insurance,arrowhead,551,,,
ARROWHEAD INSURANCE,arrowhead insurance,arrowhead,551,,,
Arthur J Gallagher Risk Mgmt,arthur j gallagher risk mgmt,chubb,6,,,
Arx Holding Corp Grp,arx holding corp grp,asi,14,,,
Ashley General Agency,,,,not mapping,https://www.ashleyga.com/,
ASI,asi,asi,14,,,
ASI (AMERICAN STRATEGIC INS),asi (american strategic ins),asi,14,,,
ASI (American Strategic Insurance),asi (american strategic insurance),asi,14,,,
Asi Assur Corp,asi assur corp,asi,14,,,
ASI Excess Flood,asi excess flood,asi,14,,,
ASI Flood,asi flood,asi,14,,,
ASI Homeowner & Dwelling Fire with Wind,asi homeowner & dwelling fire with wind,asi,14,,,
ASI Homeowners,asi homeowners,asi,14,,,
ASI Homeowners & Dwelling Fire X Wind,asi homeowners & dwelling fire x wind,asi,14,,,
ASI Lloyds,asi lloyds,asi,14,,,
Asi Preferred Ins Corp,asi preferred ins corp,asi,14,,,
ASI Progressive,asi progressive,asi,14,,,
ASI Select,asi select,asi,14,,,
Asi Select Ins Corp,asi select ins corp,asi,14,,,
ASI SELECT INS CORP,asi select ins corp,asi,14,,,
ASI Underwriters,asi underwriters,asi,14,,,
ASI Underwriters Corp.,asi underwriters corp.,asi,14,,,
ASI Underwriters Insurance Corp.,asi underwriters insurance corp.,asi,14,,,
"ASI Underwriters, Inc.","asi underwriters, inc.",asi,14,,,
ASI-American Strategic,asi-american strategic,asi,14,,,
ASI-American Strategic Insurance,asi-american strategic insurance,asi,14,,,
ASI/ Progressive Home,asi/ progressive home,asi,14,,,
ASI/Progressive,asi/progressive,asi,14,,,
Aspen HO-6,aspen ho-6,aspenins,667,,,
ASPEN INSURANCE,aspen insurance,aspenins,667,,,
Aspen Insurance,aspen insurance,aspenins,667,,,
Aspera,,,,not mapping yet,https://www.atlanticcasualty.net/,TRUE
Aspire General Ins Co.,aspire general ins co.,aspiregeneral,154,,,
Aspire General Insurance,aspire general insurance,aspiregeneral,154,,,
Assurance America,assurance america,assuranceamerica,125,,,
AssuranceAmerica,assuranceamerica,assuranceamerica,125,,,
Assuranceamerica Ins Co,assuranceamerica ins co,assuranceamerica,125,,,
ASSURANCEAMERICA INS CO,assuranceamerica ins co,assuranceamerica,125,,,
Assurant,assurant,assurant,586,,,
Assurant (Am Bankers),assurant (am bankers),assurant,586,,,
Assurant Flood,assurant flood,assurant,586,,,
Assurant Group,assurant group,assurant,586,,,
Assurant Inc Grp,assurant inc grp,assurant,586,,,
Assurant Specialty Property,assurant specialty property,assurant,586,,,
"Assurant, Inc","assurant, inc",assurant,586,,,
"Assurant, Inc.","assurant, inc.",assurant,586,,,
Assurant/American Bankers,assurant/american bankers,assurant,586,,,
Atlantic Casualty,,,,not mapping yet,https://www.atlas-fin.comm,TRUE
"ATLAS FINANCIAL HOLDINGS, INC.",,,,not mapping yet,https://www.atlasgeneral.com,TRUE
Atlas General Agency LLC,,,,not mapping yet,https://www.atlas-fin.comm,TRUE
Aetna Insurance Co.,,,,not mapping yet,https://www.atlas-fin.comm,TRUE
"Atlas General Insurance Services, LLC",,,,not mapping yet,https://www.bloss-dillard.comm,TRUE
Austin Mut Ins Co,austin mut ins co,mainstreetamerica,90,,,
AUSTIN MUTUAL,austin mutual,mainstreetamerica,90,,,
Austin Mutual,austin mutual,mainstreetamerica,90,,,
Austin Mutual Ins Co,austin mutual ins co,mainstreetamerica,90,,,
AUT - Owners Insurance Company*,aut - owners insurance company*,autoowners,7,,,
Auto Club Enterprises Ins Grp,auto club enterprises ins grp,aaa,10,,,
Auto Club Grp Ins Co,auto club grp ins co,aaa,10,,,
Auto Club Ins Assn,auto club ins assn,aaa,10,,,
AUTO CLUB INS ASSOC,auto club ins assoc,aaa,10,,,
Auto Club Ins Co Of FL,auto club ins co of fl,aaa,10,,,
AUTO CLUB INSURANCE ASSOC.,auto club insurance assoc.,aaa,10,,,
Auto Ins of Hartford CT (Travelers),auto ins of hartford ct (travelers),travelers,16,,,
Auto Insurance Company Of Hartford,auto insurance company of hartford,travelers,16,,,
Auto Owners,auto owners,autoowners,7,,,
Auto Owners Flood,auto owners flood,autoowners,7,,,
Auto Owners Flood Ins Program,auto owners flood ins program,autoowners,7,,,
Auto Owners Ins Co,auto owners ins co,autoowners,7,,,
Auto Owners Ins Co & Affil,auto owners ins co & affil,autoowners,7,,,
Auto Owners Ins Co.,auto owners ins co.,autoowners,7,,,
Auto Owners Insurance,auto owners insurance,autoowners,7,,,
Auto Owners Insurance Co.,auto owners insurance co.,autoowners,7,,,
Auto Owners Insurance Company,auto owners insurance company,autoowners,7,,,
Auto Owners Insurance Company,auto owners insurance company,autoowners,7,,,
Auto Owners Personal,auto owners personal,autoowners,7,,,
Auto-Owners,auto-owners,autoowners,7,,,
Auto-Owners Flood Ins. Co.,auto-owners flood ins. co.,autoowners,7,,,
Auto-Owners Ins Co,auto-owners ins co,autoowners,7,,,
AUTO-OWNERS INSURANCE,auto-owners insurance,autoowners,7,,,
Auto-Owners Insurance Co,auto-owners insurance co,autoowners,7,,,
Auto-Owners Insurance Co.,auto-owners insurance co.,autoowners,7,,,
Auto-Owners Insurance Company,auto-owners insurance company,autoowners,7,,,
Auto-Owners Insurance Group,auto-owners insurance group,autoowners,7,,,
Auto-Owners Life Ins Co,,,,not mapping due to life yet,,
Automobile Ins Co Of Hartford Ct,automobile ins co of hartford ct,autoowners,7,,,
Automobile Ins Co Of Hartford Ct,automobile ins co of hartford ct,autoowners,7,,,
Avatar Insurance,avatar insurance,avatar,105,,,
Avatar Prop & Cas Ins Co,avatar prop & cas ins co,avatar,105,,,
Avatar Property & Casualty,avatar property & casualty,avatar,105,,,
Avatar Property and Casualty Insurance,avatar property and casualty insurance,avatar,105,,,
Aviva Canada,aviva canada,aviva,629,,,
Axa Insurance Company,axa insurance company,axaxl,636,,,
AXA XL,axa xl,axaxl,636,,,
Axia Group,axia group,axiagroup,643,,,
Badger Mut Ins Co,badger mut ins co,badger,159,,,
Badger Mutual,badger mutual,badger,159,,,
Badger Mutual Insurance Co.,badger mutual insurance co.,badger,159,,,
Badger Mutual Insurance Company,badger mutual insurance company,badger,159,,,
Bamboo,bamboo,bamboo,601,,,
Bamboo Insurance,bamboo insurance,bamboo,601,,,
Bankers Financial Corporation,bankers financial corporation,bankersinsurance,544,,,
Bankers Insuance TX,bankers insuance tx,bankersinsurance,544,,,
Bankers Insurance Co,bankers insurance co,bankersinsurance,544,,,
Bankers Insurance Company,bankers insurance company,bankersinsurance,544,,,
Bankers Standard Insurance Company,bankers standard insurance company,chubb,6,,,
Barnstable,barnstable,barnstable,644,,,
Barnstable County Mutual Ins,barnstable county mutual ins,barnstable,644,,,
Barnstable County Mutual Ins Company,barnstable county mutual ins company,barnstable,644,,,
Battle Creek,battle creek,battlecreek,689,,,
Battle Creek Mutual Insurance Company,battle creek mutual insurance company,battlecreek,689,,,
Bear River,bear river,bearriver,129,,,
Bear River Mutual,bear river mutual,bearriver,129,,,
Bear River Mutual Company,bear river mutual company,bearriver,129,,,
Bear River Mutual Insurance,bear river mutual insurance,bearriver,129,,,
Berkley Classic Auto,berkley classic auto,berkleyone,53,,,
Berkley Classics,berkley classics,berkleyone,53,,,
Berkley One,berkley one,berkleyone,53,,,
Berkshire Hathaway,berkshire hathaway,berkshirehathaway,140,,,
Berkshire Hathaway Companies,berkshire hathaway companies,berkshirehathaway,140,,,
Berkshire Hathaway Grp,berkshire hathaway grp,berkshirehathaway,140,,,
Berkshire Hathaway Guard,berkshire hathaway guard,berkshirehathaway,140,,,
Berkshire Hathaway GUARD Insurance,berkshire hathaway guard insurance,berkshirehathaway,140,,,
Berkshire Hathaway GUARD Insurance Companies,berkshire hathaway guard insurance companies,berkshirehathaway,140,,,
Berkshire Hathaway Homestate,berkshire hathaway homestate,berkshirehomestate,709,Commercial,,
Berkshire Hathaway Homestate Companies,berkshire hathaway homestate companies,berkshirehomestate,709,,,
Berkshire Hathaway Inc,berkshire hathaway inc,berkshirehathaway,140,,,
Berkshire Hathaway-Guard Insurance Companies,berkshire hathaway-guard insurance companies,berkshirehathaway,140,,,
Big Sky Underwriters,,,,not mapping,https://www.bigskyuw.com,
Bigfoot,,,,,,TRUE
Billings Mutual Insurance Company,billings mutual insurance company,billingsmutual,736,,,
Bloss & Dillard,,,,not mapping yet,https://www.burnsandwilcox.com,TRUE
Blue Fire Insuranec,blue fire insuranec,bluefire,642,,,
BLUEFIRE DIRECT BILL    BLUEFIRE INSURANCE,bluefire direct bill    bluefire insurance,bluefire,642,,,
Bluefire Insurance,bluefire insurance,bluefire,642,,,
Bluewater Insurance Company,,,,,,TRUE
Branch,branch,branch,708,,,
Branch Insurance,branch insurance,branch,708,,,
Bremen Farmers Mutual Insurance Company,bremen farmers mutual insurance company,bremen,740,,,
Brethren Mutual,brethren mutual,brethrenmutual,658,,,
Brickstreet Insurance,brickstreet insurance,brickstreet,507,,,
Bridger,bridger,bridger,155,,,
